DOY,Ta (C),Tmax (C),RH (%),wind_speed (ms-1),wind_dir (Deg),precip (mm)
66,1.82,3.50,93.29,2.14,185.82,0.25
67,2.36,7.00,84.43,3.27,200.61,0.25
68,1.58,7.00,84.7,3.28,190.86,0
69,6.03,15.00,78.86,2.85,146.42,0
70,4.86,10.00,99.06,2.67,166.04,8.89
71,2.6,4.00,94.33,4.36,237.25,0.51
72,-1.3,1.50,83.07,5.61,258.43,0.25
73,-3.38,1.00,57.9,6.39,258.09,0
74,0.17,5.00,72.26,5.53,260.23,0
75,-3.97,-2.00,75.36,4.09,139.57,0
76,-4.19,0.00,66.05,3.9,196.28,0
77,-2.18,2.00,79.74,8.83,109.18,5.08
78,-0.84,2.50,90.57,5.72,237.86,0.76
79,-3.08,0.00,73.94,5.38,255.13,0
80,-3.77,0.50,82.46,5.18,257.83,0
81,-0.61,1.50,79.66,6.26,270.03,0
82,0.24,5.00,76,5.26,275.15,0
83,-0.17,4.00,77.47,4.25,173.21,0
